epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,27116.7,0.85167,0.5886,0.90428,0.96472,0.96977,0.98845,0.69653,1.08091,0.52649,1.1212,0.0003764,0.0003764,0.0003764
84,27443.1,0.89227,0.6327,0.94025,0.96426,0.97163,0.98729,0.70903,1.06801,0.53111,1.10377,0.0003566,0.0003566,0.0003566
85,27769.4,0.87012,0.58856,0.89897,0.97495,0.96454,0.99015,0.70244,1.09619,0.52286,1.123,0.0003368,0.0003368,0.0003368
86,28095,0.79268,0.56411,0.8394,0.9678,0.95745,0.98222,0.70421,1.06831,0.5436,1.1056,0.000317,0.000317,0.000317
87,28421.8,0.86424,0.59316,0.92266,0.96163,0.96454,0.98876,0.69902,1.06232,0.52318,1.10312,0.0002972,0.0002972,0.0002972
88,28747.2,0.87847,0.59765,0.92726,0.97764,0.93014,0.98859,0.68135,1.08049,0.51678,1.11018,0.0002774,0.0002774,0.0002774
89,29073,0.82065,0.56956,0.86493,0.95289,0.95745,0.98841,0.70617,1.06646,0.53084,1.10502,0.0002576,0.0002576,0.0002576
90,29398.7,0.83541,0.57938,0.89553,0.95743,0.95716,0.99024,0.69559,1.08642,0.54045,1.11797,0.0002378,0.0002378,0.0002378
91,29720.6,0.63695,0.34625,0.71155,0.95594,0.95745,0.98803,0.69365,1.10021,0.55877,1.12868,0.000218,0.000218,0.000218
92,30041.1,0.6227,0.35003,0.71791,0.95051,0.95345,0.98592,0.70505,1.07371,0.56123,1.11979,0.0001982,0.0001982,0.0001982
93,30361.6,0.59467,0.30296,0.68775,0.95123,0.96833,0.98992,0.70891,1.04641,0.53019,1.09427,0.0001784,0.0001784,0.0001784
94,30680.4,0.59189,0.32602,0.69791,0.96396,0.94852,0.98704,0.69485,1.07096,0.51583,1.11755,0.0001586,0.0001586,0.0001586
95,31000.2,0.58373,0.31139,0.67716,0.94867,0.97872,0.98972,0.70968,1.04521,0.51056,1.09911,0.0001388,0.0001388,0.0001388
96,31320,0.57945,0.30328,0.67602,0.95166,0.97736,0.99049,0.71618,1.03622,0.51661,1.0931,0.000119,0.000119,0.000119
97,31640.3,0.57982,0.29225,0.67575,0.95144,0.97271,0.98735,0.71066,1.03906,0.49715,1.09383,9.92e-05,9.92e-05,9.92e-05
98,31959.8,0.58233,0.31131,0.68727,0.94781,0.96454,0.98715,0.70723,1.0427,0.52974,1.09371,7.94e-05,7.94e-05,7.94e-05
99,32279.4,0.5638,0.29164,0.6647,0.95796,0.96975,0.98934,0.70923,1.03405,0.51787,1.08902,5.96e-05,5.96e-05,5.96e-05
100,32600.2,0.56394,0.31038,0.66939,0.95133,0.97163,0.98709,0.70822,1.03169,0.52112,1.0894,3.98e-05,3.98e-05,3.98e-05
